ButterflyID	Species	Sex	EcloseMass	10DayMass	MassChange10days	PropMassChange	WinterDestiny	Survival	StdEcloseMass	AbsoluteMassChangeStd	MassChangeStd	Winter_mass_day	Mass_20_day_or_death	Daily_Mass_Loss	Prop_Mass_Loss	Strategy
301	P_c-a_W	female	171.9	217.9	46	0.26759744	Alive	1	0.913612565	0.820945946	-0.092666619	20	181.6	-1.815	-0.008329509	Diapause
302	P_c-a_W	female	167.2	215.6	48.4	0.289473684	Alive	1	0.852094241	0.795045045	-0.057049196	20	168.8	-2.34	-0.010853432	Diapause
303	P_c-a_W	female	148	177.3	29.3	0.197972973	Dead	0	0.60078534	0.363738739	-0.237046602	20	104.2	-3.655	-0.020614777	Diapause
304	P_c-a_W	female	138.1	203	64.9	0.469949312	Alive	1	0.471204188	0.653153153	0.181948965	20	166.2	-1.84	-0.009064039	Diapause
305	P_c-a_W	male	144.5	197.6	53.1	0.367474048	Alive	1	0.554973822	0.592342342	0.03736852	20	162.4	-1.76	-0.008906883	Diapause
306	P_c-a_W	female	151.4	223	71.6	0.472919419	Alive	1	0.645287958	0.878378378	0.23309042	20	179.7	-2.165	-0.00970852	Diapause
307	P_c-a_W	female	125.6	166.8	41.2	0.328025478	Alive	1	0.307591623	0.245495495	-0.062096128	20	131.3	-1.775	-0.010641487	Diapause
308	P_c-a_W	female	134.1	145	10.9	0.081282625	Alive	1	0.418848168	0	-0.418848168	20	113.4	-1.58	-0.010896552	Diapause
309	P_c-a_W	female	122	146.3	24.3	0.199180328	Dead	0	0.260471204	0.01463964	-0.245831565	20	86.5	-2.99	-0.020437457	Diapause
310	P_c-a_W	female	142.5	233.8	91.3	0.640701754	Alive	1	0.528795812	1	0.471204188	20	172.4	-3.07	-0.013130881	Diapause
311	P_c-a_W	male	159.1	160.2	1.1	0.006913891	Dead	0	0.746073298	0.171171171	-0.574902127	13	91	-5.323076923	-0.033227696	Diapause
312	P_c-a_W	female	102.1	157.1	55	0.538687561	Alive	1	0	0.136261261	0.136261261	20	113.6	-2.175	-0.013844685	Diapause
313	P_c-a_W	male	178.5	221	42.5	0.238095238	Alive	1	1	0.855855856	-0.144144144	20	180.6	-2.02	-0.009140271	Diapause
314	P_c-a_W	female	172.3	193.4	21.1	0.122460824	Alive	1	0.918848168	0.545045045	-0.373803122	20	146.5	-2.345	-0.012125129	Diapause
315	P_c-a_W	male	160.4	163.2	2.8	0.017456359	Dead	0	0.763089005	0.204954955	-0.55813405	13	92.3	-5.453846154	-0.033418175	Diapause
316	P_c-a_W	male	144.4	163.6	19.2	0.132963989	Alive	1	0.553664921	0.209459459	-0.344205462	20	99.4	-3.21	-0.019621027	Diapause
