Butterfly_ID	Species	Sex	EcloseMass	StdEcloseMass	10DayMass	MassChange10days	PropMassChange	WinterDestiny	WinterDestiny	Survival	Strategy	Daily_Mass_Loss	Prop_Mass_Loss
1	V_cardui	female	250.1	0.955277281	166.7	-83.4	-0.333466613	Dead	0	7	Direct	-6.385714286	-0.038306624
2	V_cardui	male	255.1	1	180.9	-74.2	-0.290866327	Dead	0	4	Direct	-10.75	-0.059425097
4	V_cardui	female	212.9	0.62254025	202.7	-10.2	-0.047909817	Dead	0	4	Direct	-9.625	-0.047483966
6	V_cardui	female	199	0.498211091	201.3	2.3	0.011557789	Dead	0	4	Direct	-7.6	-0.037754595
7	V_cardui	female	168.8	0.228085868	204.2	35.4	0.20971564	Dead	0	3	Direct	-14.93333333	-0.073130917
8	V_cardui	male	188.6	0.405187835	204.5	15.9	0.084305408	Dead	0	9	Direct	-7.9	-0.038630807
9	V_cardui	male	239.3	0.858676208	192.2	-47.1	-0.19682407	Dead	0	12	Direct	-4.525	-0.023543184
11	V_cardui	male	200.5	0.511627907	156.4	-44.1	-0.219950125	Dead	0	4	Direct	-8.825	-0.056425831
12	V_cardui	female	168.7	0.227191413	131.9	-36.8	-0.218138708	Dead	0	3	Direct	-6.966666667	-0.052817791
13	V_cardui	male	167	0.211985689	125.2	-41.8	-0.250299401	Dead	0	3	Direct	-5.466666667	-0.043663472
14	V_cardui	male	143.3	0	160.3	17	0.11863224	Dead	0	10	Direct	-6.32	-0.039426076
16	V_cardui	male	158.4	0.135062612	172.6	14.2	0.089646465	Dead	0	13	Direct	-3.438461538	-0.019921562
17	V_cardui	female	147.8	0.040250447	185	37.2	0.251691475	Dead	0	4	Direct	-11.275	-0.060945946
19	V_cardui	male	176	0.292486583	181.9	5.9	0.033522727	Dead	0	7	Direct	-8.385714286	-0.046100683
20	V_cardui	male	189.5	0.413237925	173	-16.5	-0.08707124	Dead	0	7	Direct	-6.585714286	-0.038067713
21	V_cardui	female	199.8	0.505366726	215.2	15.4	0.077077077	Dead	0	4	Direct	-11	-0.051115242
22	V_cardui	male	185	0.372987478	158.7	-26.3	-0.142162162	Dead	0	16	Direct	-2.25625	-0.014217076
24	V_cardui	female	176.1	0.293381038	162.8	-13.3	-0.07552527	Dead	0	4	Direct	-9.25	-0.056818182
25	V_cardui	female	197.6	0.48568873	216	18.4	0.093117409	Dead	0	11	Direct	-4.645454545	-0.021506734
101	V_atalanta	female	230	0.487843552	240.5	10.5	0.045652174	Dead	0	15	Direct	-5.433333333	-0.022591823
102	V_atalanta	female	159.4	0.114693446	171.1	11.7	0.073400251	Dead	0	10	Direct	-6.06	-0.035417884
103	V_atalanta	female	197.6	0.316596195	181.1	-16.5	-0.083502024	Dead	0	9	Direct	-5.977777778	-0.03300816
104	V_atalanta	male	221.3	0.441860465	225.9	4.6	0.020786263	Dead	0	11	Direct	-8.954545455	-0.039639422
105	V_atalanta	male	156.8	0.100951374	158.4	1.6	0.010204082	Dead	0	9	Direct	-7.988888889	-0.050434905
106	V_atalanta	female	178.9	0.217758985	185.4	6.5	0.036333147	Dead	0	9	Direct	-5.244444444	-0.028287187
107	V_atalanta	female	232.1	0.498942918	242	9.9	0.042654028	Dead	0	10	Direct	-7.69	-0.03177686
108	V_atalanta	male	257.7	0.634249471	223	-34.7	-0.134652697	Dead	0	11	Direct	-6.963636364	-0.031227069
109	V_atalanta	male	158.4	0.109408034	191.3	32.9	0.20770202	Dead	0	20	Direct	-4.89	-0.025561945
110	V_atalanta	male	185.4	0.252114165	196.4	11	0.059331176	Dead	0	12	Direct	-5.933333333	-0.030210455
111	V_atalanta	female	244	0.561839323	181.2	-62.8	-0.257377049	Dead	0	12	Direct	-6.633333333	-0.0366078
112	V_atalanta	female	161.2	0.124207188	160.2	-1	-0.006203474	Dead	0	9	Direct	-6.266666667	-0.039117769
115	V_atalanta	male	169.2	0.166490486	170.3	1.1	0.006501182	Dead	0	9	Direct	-7.644444444	-0.044888106
116	V_atalanta	female	215	0.408562368	239.6	24.6	0.114418605	Dead	0	13	Direct	-5.930769231	-0.024752793
117	V_atalanta	female	300.3	0.859408034	242.6	-57.7	-0.192141192	Dead	0	10	Direct	-6.19	-0.025515251
118	V_atalanta	female	177.3	0.209302326	179.5	2.2	0.012408347	Dead	0	9	Direct	-7.922222222	-0.044134943
119	V_atalanta	female	186.3	0.256871036	204.1	17.8	0.09554482	Dead	0	14	Direct	-5.107142857	-0.025022748
120	V_atalanta	male	299.1	0.853065539	252.9	-46.2	-0.15446339	Dead	0	19	Direct	-4.915789474	-0.019437681
121	V_atalanta	male	307.1	0.895348837	234	-73.1	-0.238033214	Dead	0	11	Direct	-4.854545455	-0.020745921
122	V_atalanta	female	264.8	0.671775899	241.5	-23.3	-0.087990937	Dead	0	11	Direct	-4.663636364	-0.019311124
123	V_atalanta	female	137.7	0	149.8	12.1	0.087872186	Dead	0	11	Direct	-4.3	-0.02870494
124	V_atalanta	male	326.9	1	301	-25.9	-0.079229122	Dead	0	13	Direct	-7.715384615	-0.025632507
125	V_atalanta	female	310.4	0.912790698	299.1	-11.3	-0.036404639	Dead	0	11	Direct	-7.409090909	-0.024771284
201	P_c-a_H	female	163.3	0.693565976	168.3	5	0.030618494	Dead	0	20	Direct	-4.215	-0.025044563
203	P_c-a_H	male	143.6	0.478735005	92.2	-51.4	-0.357938719	Dead	0	6	Direct	-4	-0.043383948
204	P_c-a_H	female	115.9	0.176663032	101	-14.9	-0.128559103	Dead	0	20	Direct	-1.455	-0.014405941
205	P_c-a_H	female	122.1	0.244274809	76.3	-45.8	-0.375102375	Dead	0	6	Direct	-3.583333333	-0.04696374
206	P_c-a_H	female	125	0.275899673	80.7	-44.3	-0.3544	Dead	0	12	Direct	-1.716666667	-0.021272202
207	P_c-a_H	male	153.2	0.583424209	102.1	-51.1	-0.333550914	Dead	0	6	Direct	-5.1	-0.049951028
208	P_c-a_H	male	154.5	0.597600872	97.3	-57.2	-0.370226537	Dead	0	6	Direct	-3.866666667	-0.039739637
209	P_c-a_H	female	166.1	0.724100327	110	-56.1	-0.337748344	Dead	0	12	Direct	-2.308333333	-0.020984848
210	P_c-a_H	female	143.4	0.47655398	102.6	-40.8	-0.284518828	Dead	0	16	Direct	-1.4375	-0.014010721
211	P_c-a_H	male	191.4	1	108.2	-83.2	-0.434691745	Dead	0	8	Direct	-3.4	-0.03142329
212	P_c-a_H	female	128.2	0.310796074	136.7	8.5	0.066302652	Dead	0	20	Direct	-2.4	-0.017556693
