ButterflyID	Species	Sex	EcloseMass	StdEcloseMass	10DayMass	MassChange10days	PropMassChange	Lifespan_Winter	WinterDestiny	Strategy																		
1	V_card	f	250.1	0.955277281	166.7	-83.4	-0.333466613	7	Dead	non-diapause																		
2	V_card	m	255.1	1	180.9	-74.2	-0.290866327	4	Dead	non-diapause																		
4	V_card	f	212.9	0.62254025	202.7	-10.2	-0.047909817	4	Dead	non-diapause																		
6	V_card	f	199	0.498211091	201.3	2.3	0.011557789	4	Dead	non-diapause																		
7	V_card	f	168.8	0.228085868	204.2	35.4	0.20971564	3	Dead	non-diapause																		
8	V_card	m	188.6	0.405187835	204.5	15.9	0.084305408	9	Dead	non-diapause																		
9	V_card	m	239.3	0.858676208	192.2	-47.1	-0.19682407	12	Dead	non-diapause																		
11	V_card	m	200.5	0.511627907	156.4	-44.1	-0.219950125	4	Dead	non-diapause																		
12	V_card	f	168.7	0.227191413	131.9	-36.8	-0.218138708	3	Dead	non-diapause																		
13	V_card	m	167	0.211985689	125.2	-41.8	-0.250299401	3	Dead	non-diapause																		
14	V_card	m	143.3	0	160.3	17	0.11863224	10	Dead	non-diapause																		
16	V_card	m	158.4	0.135062612	172.6	14.2	0.089646465	13	Dead	non-diapause																		
17	V_card	f	147.8	0.040250447	185	37.2	0.251691475	4	Dead	non-diapause																		
19	V_card	m	176	0.292486583	181.9	5.9	0.033522727	7	Dead	non-diapause																		
20	V_card	m	189.5	0.413237925	173	-16.5	-0.08707124	7	Dead	non-diapause																		
21	V_card	f	199.8	0.505366726	215.2	15.4	0.077077077	4	Dead	non-diapause																		
22	V_card	m	185	0.372987478	158.7	-26.3	-0.142162162	16	Dead	non-diapause																		
24	V_card	f	176.1	0.293381038	162.8	-13.3	-0.07552527	4	Dead	non-diapause																		
25	V_card	f	197.6	0.48568873	216	18.4	0.093117409	11	Dead	non-diapause																		
101	V_atal	f	230	0.487843552	240.5	10.5	0.045652174	15	Dead	non-diapause																		
102	V_atal	f	159.4	0.114693446	171.1	11.7	0.073400251	10	Dead	non-diapause																		
103	V_atal	f	197.6	0.316596195	181.1	-16.5	-0.083502024	9	Dead	non-diapause																		
104	V_atal	m	221.3	0.441860465	225.9	4.6	0.020786263	11	Dead	non-diapause																		
105	V_atal	m	156.8	0.100951374	158.4	1.6	0.010204082	9	Dead	non-diapause																		
106	V_atal	f	178.9	0.217758985	185.4	6.5	0.036333147	9	Dead	non-diapause																		
107	V_atal	f	232.1	0.498942918	242	9.9	0.042654028	10	Dead	non-diapause																		
108	V_atal	m	257.7	0.634249471	223	-34.7	-0.134652697	11	Dead	non-diapause																		
109	V_atal	m	158.4	0.109408034	191.3	32.9	0.20770202	20	Dead	non-diapause																		
110	V_atal	m	185.4	0.252114165	196.4	11	0.059331176	12	Dead	non-diapause																		
111	V_atal	f	244	0.561839323	181.2	-62.8	-0.257377049	12	Dead	non-diapause																		
112	V_atal	f	161.2	0.124207188	160.2	-1	-0.006203474	9	Dead	non-diapause																		
115	V_atal	m	169.2	0.166490486	170.3	1.1	0.006501182	9	Dead	non-diapause																		
116	V_atal	f	215	0.408562368	239.6	24.6	0.114418605	13	Dead	non-diapause																		
117	V_atal	f	300.3	0.859408034	242.6	-57.7	-0.192141192	10	Dead	non-diapause																		
118	V_atal	f	177.3	0.209302326	179.5	2.2	0.012408347	9	Dead	non-diapause																		
119	V_atal	f	186.3	0.256871036	204.1	17.8	0.09554482	14	Dead	non-diapause																		
120	V_atal	m	299.1	0.853065539	252.9	-46.2	-0.15446339	19	Dead	non-diapause																		
121	V_atal	m	307.1	0.895348837	234	-73.1	-0.238033214	11	Dead	non-diapause																		
122	V_atal	f	264.8	0.671775899	241.5	-23.3	-0.087990937	11	Dead	non-diapause																		
123	V_atal	f	137.7	0	149.8	12.1	0.087872186	11	Dead	non-diapause																		
124	V_atal	m	326.9	1	301	-25.9	-0.079229122	13	Dead	non-diapause																		
125	V_atal	f	310.4	0.912790698	299.1	-11.3	-0.036404639	11	Dead	non-diapause																		
201	P_c_alb_Hut	f	163.3	0.693565976	168.3	5	0.030618494	24	Dead	non-diapause																		
203	P_c_alb_Hut	m	143.6	0.478735005	92.2	-51.4	-0.357938719	6	Dead	non-diapause																		
204	P_c_alb_Hut	f	115.9	0.176663032	101	-14.9	-0.128559103	24	Dead	non-diapause																		
205	P_c_alb_Hut	f	122.1	0.244274809	76.3	-45.8	-0.375102375	6	Dead	non-diapause																		
206	P_c_alb_Hut	f	125	0.275899673	80.7	-44.3	-0.3544	12	Dead	non-diapause																		
207	P_c_alb_Hut	m	153.2	0.583424209	102.1	-51.1	-0.333550914	6	Dead	non-diapause																		
208	P_c_alb_Hut	m	154.5	0.597600872	97.3	-57.2	-0.370226537	6	Dead	non-diapause																		
209	P_c_alb_Hut	f	166.1	0.724100327	110	-56.1	-0.337748344	12	Dead	non-diapause																		
