Butterfly_ID	Date	Species	Strategy	Mass	Flow_rate	Temp	CO2_mL_h	CO2_mL_h_mg
A8	08.02.2022	A_urticae	Diapause	0.119	75	8	0.00559	0.04697863
A4	27.01.2022	A_urticae	Diapause	0.122	75	8	0.00244	0.02001406
A5	29.01.2022	A_urticae	Diapause	0.095	75	8	0.00324	0.03411057
A6	31.01.2022	A_urticae	Diapause	0.119	75	8	0.00266	0.02232099
I3	28.01.2022	A_io	Diapause	0.206	75	8	0.01	0.04876927
I4	30.01.2022	A_io	Diapause	0.219	75	8	0.00621	0.02836646
I6	03.02.2022	A_io	Diapause	0.186	75	8	0.00862	0.04634722
I2	09.02.2022	A_io	Diapause	0.121	75	8	0.00616	0.05086803
V1	27.01.2022	V_atalanta	Migration	0.209	75	8	0.0314	0.15001952
V2	28.01.2022	V_atalanta	Migration	0.238	75	8	0.0324	0.13598071
V3	31.01.2022	V_atalanta	Migration	0.256	75	8	0.033	0.12904969
V4	14.02.2022	V_atalanta	Migration	0.233	75	8	0.0243	0.10423901
V5	15.02.2022	V_atalanta	Migration	0.256	75	8	0.02706	0.10570742
V6	16.02.2022	V_atalanta	Migration	0.245	75	8	0.0243	0.09923094
V7	17.02.2022	V_atalanta	Migration	0.257	75	8	0.0209	0.0814209
V8	18.02.2022	V_atalanta	Migration	0.24	75	8	0.00987	0.04110931
V9	19.02.2022	V_atalanta	Migration	0.196	75	8	0.0191	0.09755056
V10	20.02.2022	V_atalanta	Migration	0.375	75	8	0.0326	0.0868044
